IncidentNumber,DateOfCall,TimeOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,IncGeo_BoroughCode,IncGeo_BoroughName,IncGeo_WardCode,IncGeo_WardName,Easting_m,Northing_m,Easting_rounded,Northing_rounded,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending
008668-21012017,21.Jan.17,10:56:16,False Alarm,AFA,,Non Residential,Factory ,Correct incident location,SW11 3SE,SW11,E09000032,WANDSWORTH,E05000622,ST. MARY'S PARK,526392,175633,526350,175650,London,Battersea,243,Battersea,NULL,,1,1
008669-21012017,21.Jan.17,10:58:50,False Alarm,AFA,,Non Residential,Day care/Drop in centre,Within same building,TW13 6UJ,TW13,E09000018,HOUNSLOW,E05000353,HANWORTH,512061,171222,512050,171250,London,Feltham,518,Twickenham,NULL,,1,1
008672-21012017,21.Jan.17,11:18:07,Special Service,Special Service,Effecting entry/exit,Dwelling,House - single occupancy ,Correct incident location,,E17,E09000031,WALTHAM FOREST,E05000609,WOOD STREET,NULL,NULL,538250,189450,London,Walthamstow,445,Leyton,NULL,,1,1
008673-21012017,21.Jan.17,11:19:48,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SW6,E09000013,HAMMERSMITH AND FULHAM,E05000254,FULHAM BROADWAY,NULL,NULL,525350,177350,London,Fulham,172,Fulham,NULL,,1,1
008674-21012017,21.Jan.17,11:36:53,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,SW1P,E09000033,WESTMINSTER,E05000644,ST. JAMES'S,NULL,NULL,530050,179050,London,Lambeth,184,Lambeth,NULL,,1,1
008675-21012017,21.Jan.17,11:38:17,False Alarm,AFA,,Non Residential,Gym ,Correct incident location,EC1Y 8LP,EC1Y,E09000019,ISLINGTON,E05000367,BUNHILL,532627,182186,532650,182150,London,Shoreditch,245,Shoreditch,NULL,,1,1
008676-21012017,21.Jan.17,11:38:23,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Within same building,E4 8LL,E4,E09000031,WALTHAM FOREST,E05000607,VALLEY,537334,192431,537350,192450,London,Chingford,442,Chingford,820,Tottenham,2,2
008677-21012017,21.Jan.17,11:40:19,Special Service,Flood call attended - Batch mobilised,Lift Release,Other Residential,Retirement/Old Persons Home,Within same building,W4 1YA,W4,E09000018,HOUNSLOW,E05000365,TURNHAM GREEN,520956,178589,520950,178550,London,Chiswick,NULL,,NULL,,1,1
008678-21012017,21.Jan.17,11:46:14,Fire,Primary Fire,,Road Vehicle,Motorcycle ,Open land/water - nearest gazetteer location,TW2 6GB,TW2,E09000027,RICHMOND UPON THAMES,E05000523,HEATHFIELD,513301,173434,513350,173450,London,Twickenham,386,Heston,NULL,,1,2
008680-21012017,21.Jan.17,11:48:43,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,IG1,E09000026,REDBRIDGE,E05000502,CRANBROOK,NULL,NULL,542250,188150,London,Ilford,387,Ilford,495,Ilford,1,2
008681-21012017,21.Jan.17,11:49:30,False Alarm,False alarm - Good intent,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,SE17,E09000028,SOUTHWARK,E05000541,FARADAY,NULL,NULL,532450,178150,London,Old Kent Road,263,Peckham,273,Old Kent Road,2,2
008684-21012017,21.Jan.17,11:52:47,Special Service,Special Service,Making Safe (not RTC),Outdoor Structure,Shelter ,In street outside gazetteer location,UB4 8PF,UB4,E09000017,HILLINGDON,E05000328,CHARVILLE,508600,183033,508650,183050,London,Hillingdon,498,Hillingdon,NULL,,1,1
008686-21012017,21.Jan.17,11:55:09,Fire,Primary Fire,,Non Residential,Hairdresser ,Correct incident location,N8 0QY,N8,E09000014,HARINGEY,E05000271,HARRINGAY,531666,189180,531650,189150,London,Tottenham,275,Hornsey,276,Hornsey,1,2
008688-21012017,21.Jan.17,12:06:26,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Correct incident location,E4 8LL,E4,E09000031,WALTHAM FOREST,E05000607,VALLEY,537334,192431,537350,192450,London,Chingford,337,Chingford,NULL,,2,2
008690-21012017,21.Jan.17,12:09:32,False Alarm,AFA,,Non Residential,Purpose built office ,Within same building,E1 7SA,E1,E09000030,TOWER HAMLETS,E05009333,SPITALFIELDS & BANGLATOWN,533942,181562,533950,181550,London,Whitechapel,205,Whitechapel,NULL,,1,1
008692-21012017,21.Jan.17,12:16:14,False Alarm,AFA,,Non Residential,Hospital ,Correct incident location,W1G 8BJ,W1G,E09000033,WESTMINSTER,E05000641,MARYLEBONE HIGH STREET,528588,181789,528550,181750,London,Euston,270,Euston,NULL,,1,1
008693-21012017,21.Jan.17,12:16:28,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,EC1Y,E09000001,CITY OF LONDON,E05009302,CRIPPLEGATE,NULL,NULL,532150,182050,London,Shoreditch,NULL,,NULL,,1,1
008694-21012017,21.Jan.17,12:17:46,Special Service,Special Service,Assist other agencies,Dwelling,House - single occupancy ,Correct incident location,,E3,E09000030,TOWER HAMLETS,E05009320,BOW WEST,NULL,NULL,536550,183050,London,Bethnal Green,456,Stratford,NULL,,1,1
008697-21012017,21.Jan.17,12:27:54,Special Service,Special Service,Flooding,Dwelling,House - single occupancy ,Correct incident location,,HA0,E09000005,BRENT,E05000101,SUDBURY,NULL,NULL,517050,185750,London,Wembley,377,Wembley,NULL,,1,1
008698-21012017,21.Jan.17,12:33:21,Fire,Primary Fire,,Outdoor Structure,Outdoor storage ,Correct incident location,SW18 4HG,SW18,E09000032,WANDSWORTH,E05000612,EARLSFIELD,525956,172333,525950,172350,London,Tooting,380,Tooting,470,Wandsworth,2,2
008699-21012017,21.Jan.17,12:33:52,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,NW11,E09000003,BARNET,E05000053,GOLDERS GREEN,NULL,NULL,524150,188750,London,Hendon,336,Hendon,441,Finchley,3,4
008702-21012017,21.Jan.17,12:37:45,False Alarm,AFA,,Other Residential,Boarding House/B&B other ,Within same building,SW12 8QL,SW12,E09000032,WANDSWORTH,E05000618,NIGHTINGALE,528080,173666,528050,173650,London,Tooting,265,Tooting,345,Clapham,3,3
008705-21012017,21.Jan.17,12:45:28,False Alarm,AFA,,Non Residential,Infant/Primary school,Correct incident location,E10 5AZ,E10,E09000031,WALTHAM FOREST,E05000604,LEYTON,537748,187464,537750,187450,London,Leyton,556,Walthamstow,NULL,,1,1
008707-21012017,21.Jan.17,12:54:44,False Alarm,AFA,,Non Residential,Purpose built office ,Within same building,NW3 2DG,NW3,E09000007,CAMDEN,E05000134,GOSPEL OAK,527405,185512,527450,185550,London,Kentish Town,262,Kentish Town,NULL,,1,1
008708-21012017,21.Jan.17,12:55:33,Special Service,Special Service,Spills and Leaks (not RTC),Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,TW7,E09000018,HOUNSLOW,E05000362,ISLEWORTH,NULL,NULL,516550,175950,London,Heston,289,Heston,NULL,,1,1
008710-21012017,21.Jan.17,12:58:13,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Within same building,E4 8LL,E4,E09000031,WALTHAM FOREST,E05000607,VALLEY,537334,192431,537350,192450,London,Chingford,475,Walthamstow,NULL,,2,2
008712-21012017,21.Jan.17,13:02:10,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Correct incident location,SE16 5UP,SE16,E09000028,SOUTHWARK,E05000552,SURREY DOCKS,536648,179649,536650,179650,London,Deptford,312,Dockhead,370,Deptford,3,3
008713-21012017,21.Jan.17,13:09:50,Fire,Secondary Fire,,Outdoor Structure,Common external bin storage area,On land associated with building,SW1V 3LH,SW1V,E09000033,WESTMINSTER,E05000633,CHURCHILL,529189,177912,529150,177950,London,Lambeth,265,Lambeth,279,Lambeth,1,2
008714-21012017,21.Jan.17,13:11:44,Fire,Primary Fire,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,SW16,E09000022,LAMBETH,E05000432,STREATHAM WELLS,NULL,NULL,530550,171550,London,Norbury,264,West Norwood,271,West Norwood,1,2
008716-21012017,21.Jan.17,13:15:59,False Alarm,False alarm - Good intent,,Outdoor,"Grassland, pasture, grazing etc ",Open land/water - nearest gazetteer location,SE28 8RU,SE28,E09000011,GREENWICH,E05000228,THAMESMEAD MOORINGS,546297,179974,546250,179950,London,Plumstead,517,Plumstead,NULL,,1,1
008718-21012017,21.Jan.17,13:28:36,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,NW6,E09000005,BRENT,E05000094,KILBURN,NULL,NULL,525150,182750,London,Paddington,NULL,,NULL,,1,1
008719-21012017,21.Jan.17,13:29:42,Fire,Primary Fire,,Outdoor,Loose refuse ,On land associated with building,SE18 7SR,SE18,E09000011,GREENWICH,E05000221,GLYNDON,544389,178073,544350,178050,London,Plumstead,424,Eltham,NULL,,3,4
008720-21012017,21.Jan.17,13:29:56,False Alarm,False alarm - Good intent,,Non Residential,"Takeaway, fast food ",Correct incident location,W6 7PH,W6,E09000013,HAMMERSMITH AND FULHAM,E05000250,ADDISON,523484,179427,523450,179450,London,Hammersmith,181,Hammersmith,NULL,,1,1
008723-21012017,21.Jan.17,13:38:14,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,SW15,E09000032,WANDSWORTH,E05000621,ROEHAMPTON AND PUTNEY HEATH,NULL,NULL,521250,174250,London,Richmond,408,Richmond,NULL,,2,2
008724-21012017,21.Jan.17,13:39:12,Fire,Secondary Fire,,Outdoor Structure,Barbeque ,Correct incident location,IG6 2UQ,IG6,E09000026,REDBRIDGE,E05000503,FAIRLOP,544799,191577,544750,191550,London,Hainault,510,Hainault,643,Woodford,2,2
008726-21012017,21.Jan.17,13:41:41,False Alarm,AFA,,Non Residential,Hospital ,Within same building,HA7 4LP,HA7,E09000015,HARROW,E05000286,CANONS,518879,192020,518850,192050,London,Stanmore,422,Stanmore,477,Stanmore,1,2
008729-21012017,21.Jan.17,13:43:27,False Alarm,AFA,,Non Residential,Gym ,Correct incident location,CR8 2PG,CR8,E09000008,CROYDON,E05000159,PURLEY,532078,162321,532050,162350,London,Purley,389,Croydon,NULL,,1,1
008731-21012017,21.Jan.17,13:49:41,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,W1W,E09000033,WESTMINSTER,E05000649,WEST END,NULL,NULL,529150,181550,London,Soho,NULL,,NULL,,1,1
008732-21012017,21.Jan.17,13:50:17,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Correct incident location,BR2 8AP,BR2,E09000006,BROMLEY,E05000106,BICKLEY,542430,167675,542450,167650,London,Bromley,NULL,,NULL,,3,3
008733-21012017,21.Jan.17,13:55:47,Special Service,Special Service,Flooding,Dwelling,House - single occupancy ,Within same building,,SM6,E09000029,SUTTON,E05000569,WALLINGTON NORTH,NULL,NULL,529450,164750,London,Wallington,296,Wallington,NULL,,1,1
008735-21012017,21.Jan.17,13:56:53,False Alarm,False alarm - Good intent,,Road Vehicle,Car ,In street close to gazetteer location,NW4 4XG,NW4,E09000003,BARNET,E05000055,HENDON,522434,190546,522450,190550,London,Mill Hill,262,Mill Hill,NULL,,1,1
008736-21012017,21.Jan.17,13:58:23,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,IG7,E09000026,REDBRIDGE,E05000506,HAINAULT,NULL,NULL,545350,192250,London,Hainault,638,Ilford,NULL,,2,2
008737-21012017,21.Jan.17,14:01:04,False Alarm,AFA,,Non Residential,Hospital ,Correct incident location,SE1 2PR,SE1,E09000028,SOUTHWARK,E05000548,RIVERSIDE,532939,180336,532950,180350,London,Dockhead,239,Dockhead,NULL,,2,2
008738-21012017,21.Jan.17,14:03:41,Fire,Secondary Fire,,Outdoor Structure,"Large refuse/rubbish container (eg skip, paladin)",On land associated with building,SW2 3LT,SW2,E09000022,LAMBETH,E05000417,BRIXTON HILL,530546,173706,530550,173750,London,West Norwood,790,Brixton,NULL,,1,1
008739-21012017,21.Jan.17,14:11:33,False Alarm,AFA,,Non Residential,Gym ,Correct incident location,SW4 6DH,SW4,E09000022,LAMBETH,E05000419,CLAPHAM TOWN,529733,175761,529750,175750,London,Clapham,405,Battersea,NULL,,1,1
008740-21012017,21.Jan.17,14:13:29,Special Service,Special Service,Lift Release,Non Residential,Sports/Social club ,Within same building,TW2 7BA,TW2,E09000027,RICHMOND UPON THAMES,E05000527,ST. MARGARETS AND NORTH TWICKENHAM,515337,174284,515350,174250,London,Heston,435,Heston,NULL,,1,1
008741-21012017,21.Jan.17,14:15:34,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Within same building,,SW9,E09000022,LAMBETH,E05000420,COLDHARBOUR,NULL,NULL,531350,175650,London,Brixton,NULL,,NULL,,1,1
008742-21012017,21.Jan.17,14:19:23,False Alarm,False alarm - Good intent,,Outdoor,Loose refuse ,Open land/water - nearest gazetteer location,IG11 0AD,IG11,E09000025,NEWHAM,E05000475,BECKTON,544131,182488,544150,182450,London,Barking,266,Barking,NULL,,1,1
008744-21012017,21.Jan.17,14:20:46,Special Service,Special Service,Spills and Leaks (not RTC),Road Vehicle,Car ,In street close to gazetteer location,SE2 9LH,SE2,E09000004,BEXLEY,E05000084,THAMESMEAD EAST,547354,179691,547350,179650,London,Erith,424,Plumstead,NULL,,1,1
008747-21012017,21.Jan.17,14:27:51,Special Service,Special Service,Flooding,Non Residential,Restaurant/cafe,Within same building,N22 6BX,N22,E09000014,HARINGEY,E05000275,NOEL PARK,531413,189799,531450,189750,London,Hornsey,260,Hornsey,NULL,,1,1
008750-21012017,21.Jan.17,14:32:30,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,E14,E09000030,TOWER HAMLETS,E05009328,POPLAR,NULL,NULL,538150,180850,London,Poplar,NULL,,NULL,,1,1
008752-21012017,21.Jan.17,14:34:16,Special Service,Special Service,Flooding,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,NW1,E09000007,CAMDEN,E05000130,CAMDEN TOWN WITH PRIMROSE HILL,NULL,NULL,527850,184050,London,Euston,376,Euston,NULL,,1,1
008755-21012017,21.Jan.17,14:37:24,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,W3,E09000009,EALING,E05000175,EAST ACTON,NULL,NULL,521550,180150,London,Acton,241,Acton,335,Chiswick,3,3
008758-21012017,21.Jan.17,14:40:18,False Alarm,False alarm - Good intent,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Within same building,,SW3,E09000020,KENSINGTON AND CHELSEA,E05009389,BROMPTON & HANS TOWN,NULL,NULL,527250,179050,London,Chelsea,199,Chelsea,291,Kensington,2,2
008760-21012017,21.Jan.17,14:42:37,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,BR4,E09000006,BROMLEY,E05000119,HAYES AND CONEY HALL,NULL,NULL,539550,165550,London,Addington,416,Addington,NULL,,1,1
008761-21012017,21.Jan.17,14:43:06,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,N4,E09000012,HACKNEY,E05009387,WOODBERRY DOWN,NULL,NULL,532550,187650,London,Stoke Newington,479,Tottenham,NULL,,2,2
008765-21012017,21.Jan.17,14:53:12,False Alarm,AFA,,Non Residential,Church/Chapel ,Within same building,IG11 0RH,IG11,E09000002,BARKING AND DAGENHAM,E05000039,THAMES,547345,183509,547350,183550,London,Barking,692,Dagenham,NULL,,1,1
008766-21012017,21.Jan.17,14:55:41,False Alarm,AFA,,Non Residential,Hospital ,Correct incident location,SM5 1AA,SM5,E09000029,SUTTON,E05000562,ST. HELIER,526415,166178,526450,166150,London,Sutton,317,Sutton,NULL,,2,2
008767-21012017,21.Jan.17,14:56:44,Special Service,Special Service,Flooding,Dwelling,House - single occupancy ,Within same building,,BR4,E09000006,BROMLEY,E05000119,HAYES AND CONEY HALL,NULL,NULL,539650,164850,London,Addington,601,Woodside,NULL,,1,1
008768-21012017,21.Jan.17,14:57:29,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SW18,E09000032,WANDSWORTH,E05000614,FAIRFIELD,NULL,NULL,525950,174150,London,Wandsworth,NULL,,NULL,,1,1
008769-21012017,21.Jan.17,14:59:15,False Alarm,False alarm - Good intent,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,WC2N,E09000033,WESTMINSTER,E05000644,ST. JAMES'S,NULL,NULL,530150,180650,London,Soho,227,Soho,229,Soho,1,2
008770-21012017,21.Jan.17,15:02:41,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Correct incident location,SE13 6QX,SE13,E09000023,LEWISHAM,E05000448,LEWISHAM CENTRAL,538137,174681,538150,174650,London,Lewisham,133,Lewisham,NULL,,2,2
008771-21012017,21.Jan.17,15:04:30,Fire,Secondary Fire,,Outdoor Structure,"Large refuse/rubbish container (eg skip, paladin)",In street outside gazetteer location,NW10 8PF,NW10,E09000005,BRENT,E05000100,STONEBRIDGE,520917,184899,520950,184850,London,Park Royal,313,Park Royal,NULL,,1,1
008772-21012017,21.Jan.17,15:08:00,False Alarm,AFA,,Non Residential,Gym ,Correct incident location,E1 6LF,E1,E09000030,TOWER HAMLETS,E05009335,WEAVERS,533829,182324,533850,182350,London,Shoreditch,228,Shoreditch,NULL,,1,1
008773-21012017,21.Jan.17,15:09:40,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,SE18,E09000011,GREENWICH,E05000223,KIDBROOKE WITH HORNFAIR,NULL,NULL,542350,176650,London,Eltham,520,East Greenwich,NULL,,1,1
008774-21012017,21.Jan.17,15:12:51,False Alarm,False alarm - Good intent,,Non Residential,Other retail warehouse ,Correct incident location,BR4 9HZ,BR4,E09000006,BROMLEY,E05000119,HAYES AND CONEY HALL,539334,165276,539350,165250,London,Addington,611,Bromley,634,Beckenham,2,2
008776-21012017,21.Jan.17,15:21:19,False Alarm,AFA,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Within same building,,SW7,E09000020,KENSINGTON AND CHELSEA,E05009393,COURTFIELD,NULL,NULL,526350,178650,London,Chelsea,272,Chelsea,323,Kensington,2,2
008777-21012017,21.Jan.17,15:23:01,Special Service,Special Service,Effecting entry/exit,Other Residential,Retirement/Old Persons Home,Within same building,TW14 9RJ,TW14,E09000018,HOUNSLOW,E05000346,BEDFONT,509626,173665,509650,173650,London,Feltham,NULL,,NULL,,1,1
008779-21012017,21.Jan.17,15:24:48,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SW8,E09000022,LAMBETH,E05000429,STOCKWELL,NULL,NULL,530850,177150,London,Lambeth,NULL,,NULL,,1,1
008781-21012017,21.Jan.17,15:27:48,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,N2,E09000003,BARNET,E05000049,EAST FINCHLEY,NULL,NULL,526350,190250,London,Finchley,137,Finchley,146,Finchley,1,2
008782-21012017,21.Jan.17,15:29:33,Special Service,Special Service,Lift Release,Non Residential,Library ,Correct incident location,SW6 5NX,SW6,E09000013,HAMMERSMITH AND FULHAM,E05000264,TOWN,524913,176899,524950,176850,London,Fulham,NULL,,NULL,,1,1
008783-21012017,21.Jan.17,15:30:06,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Within same building,SE13 6QX,SE13,E09000023,LEWISHAM,E05000448,LEWISHAM CENTRAL,538137,174681,538150,174650,London,Lewisham,124,Lewisham,NULL,,2,2
008784-21012017,21.Jan.17,15:38:06,Fire,Secondary Fire,,Outdoor Structure,Wheelie bin (domestic size),On land associated with building,IG2 6UF,IG2,E09000026,REDBRIDGE,E05000496,BARKINGSIDE,543221,188474,543250,188450,London,Ilford,402,Ilford,NULL,,1,1
008786-21012017,21.Jan.17,15:40:30,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,N19,E09000019,ISLINGTON,E05000376,JUNCTION,NULL,NULL,529350,185950,London,Kentish Town,180,Kentish Town,188,Kentish Town,2,3
008787-21012017,21.Jan.17,15:46:44,False Alarm,AFA,,Non Residential,Church/Chapel ,Correct incident location,IG11 0RH,IG11,E09000002,BARKING AND DAGENHAM,E05000039,THAMES,547345,183509,547350,183550,London,Barking,479,Barking,NULL,,1,1
008788-21012017,21.Jan.17,15:48:58,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,SM4,E09000024,MERTON,E05000456,CANNON HILL,NULL,NULL,524250,167750,London,New Malden,396,Sutton,429,Sutton,3,4
008789-21012017,21.Jan.17,15:49:28,False Alarm,False alarm - Good intent,,Other Residential,Retirement/Old Persons Home,Correct incident location,DA7 4NB,DA7,E09000004,BEXLEY,E05000064,BARNEHURST,549615,175543,549650,175550,London,Bexley,171,Bexley,434,Erith,2,2
008793-21012017,21.Jan.17,16:00:32,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,UB1,E09000009,EALING,E05000172,DORMERS WELLS,NULL,NULL,513550,181250,London,Southall,NULL,,NULL,,1,1
008795-21012017,21.Jan.17,16:01:38,Special Service,Special Service,RTC,Road Vehicle,Car ,In street outside gazetteer location,SE18 6LW,SE18,E09000011,GREENWICH,E05000230,WOOLWICH RIVERSIDE,543546,179077,543550,179050,London,Plumstead,387,Plumstead,NULL,,1,1
008796-21012017,21.Jan.17,16:02:33,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,HA4,E09000017,HILLINGDON,E05000338,SOUTH RUISLIP,NULL,NULL,511250,185550,London,Ruislip,400,Northolt,NULL,,1,1
008797-21012017,21.Jan.17,16:03:34,Special Service,Special Service,Effecting entry/exit,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,E6,E09000025,NEWHAM,E05000482,EAST HAM SOUTH,NULL,NULL,543350,183050,London,East Ham,195,East Ham,NULL,,1,1
008799-21012017,21.Jan.17,16:04:11,Special Service,Special Service,Lift Release,Non Residential,Shopping Centre ,Within same building,KT1 1TP,KT1,E09000021,KINGSTON UPON THAMES,E05000408,GROVE,517997,169449,517950,169450,London,Kingston,265,Kingston,NULL,,1,1
008801-21012017,21.Jan.17,16:05:27,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street outside gazetteer location,SE22 8EW,SE22,E09000028,SOUTHWARK,E05000539,EAST DULWICH,533815,175216,533850,175250,London,Peckham,419,Peckham,NULL,,1,1
008803-21012017,21.Jan.17,16:07:19,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,EN3,E09000010,ENFIELD,E05000199,ENFIELD LOCK,NULL,NULL,536350,199350,London,Enfield,333,Enfield,659,Chingford,3,3
008808-21012017,21.Jan.17,16:12:58,False Alarm,False alarm - Good intent,,Outdoor,Wasteland ,In street close to gazetteer location,NW11 8TD,NW11,E09000003,BARNET,E05000045,CHILDS HILL,524935,187286,524950,187250,London,West Hampstead,458,West Hampstead,871,Hendon,2,2
008809-21012017,21.Jan.17,16:13:15,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,SW19,E09000024,MERTON,E05000466,MERTON PARK,NULL,NULL,525050,169750,London,Wimbledon,113,Wimbledon,475,New Malden,2,2
008812-21012017,21.Jan.17,16:23:24,Special Service,Special Service,Effecting entry/exit,Dwelling,House - single occupancy ,Correct incident location,,UB10,E09000017,HILLINGDON,E05000332,HILLINGDON EAST,NULL,NULL,507550,182950,London,Hillingdon,151,Hillingdon,NULL,,1,1
008813-21012017,21.Jan.17,16:23:59,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,W12,E09000013,HAMMERSMITH AND FULHAM,E05000265,WORMHOLT AND WHITE CITY,NULL,NULL,522550,180550,London,Hammersmith,144,Ealing,NULL,,1,1
008814-21012017,21.Jan.17,16:25:16,Fire,Primary Fire,,Dwelling,House - single occupancy ,Within same building,,N8,E09000014,HARINGEY,E05000273,HORNSEY,NULL,NULL,530650,188750,London,Hornsey,229,Hornsey,NULL,,1,1
008815-21012017,21.Jan.17,16:27:13,Special Service,Special Service,Medical Incident - Co-responder,Outdoor,Road surface/pavement ,In street outside gazetteer location,SE22 8NB,SE22,E09000028,SOUTHWARK,E05000554,VILLAGE,533896,173985,533850,173950,London,Forest Hill,392,Forest Hill,NULL,,1,1
008816-21012017,21.Jan.17,16:28:01,False Alarm,AFA,,Non Residential,College/University ,Correct incident location,SE5 9RF,SE5,E09000022,LAMBETH,E05000436,VASSALL,531654,176671,531650,176650,London,Brixton,291,Brixton,NULL,,1,1
008818-21012017,21.Jan.17,16:32:49,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,SW2,E09000022,LAMBETH,E05000417,BRIXTON HILL,NULL,NULL,530650,173850,London,West Norwood,307,Brixton,546,Clapham,2,2
008820-21012017,21.Jan.17,16:34:32,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,SE18,E09000011,GREENWICH,E05000223,KIDBROOKE WITH HORNFAIR,NULL,NULL,542350,176650,London,Eltham,424,East Greenwich,NULL,,1,1
008822-21012017,21.Jan.17,16:37:56,Special Service,Special Service,No action (not false alarm),Non Residential,Shopping Centre ,Correct incident location,UB8 1LN,UB8,E09000017,HILLINGDON,E05000341,UXBRIDGE SOUTH,505329,184205,505350,184250,London,Hillingdon,NULL,,NULL,,1,1
008823-21012017,21.Jan.17,16:38:44,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,,DA8,E09000004,BEXLEY,E05000079,NORTH END,NULL,NULL,551650,177050,London,Erith,291,Erith,374,Bexley,2,2
008824-21012017,21.Jan.17,16:49:57,False Alarm,AFA,,Non Residential,College/University ,Correct incident location,WC1E 7DE,WC1E,E09000007,CAMDEN,E05000129,BLOOMSBURY,529730,181775,529750,181750,London,Soho,289,Soho,NULL,,1,1
008826-21012017,21.Jan.17,16:54:09,Fire,Secondary Fire,,Outdoor Structure,"Large refuse/rubbish container (eg skip, paladin)",In street close to gazetteer location,WC2B 5BZ,WC2B,E09000007,CAMDEN,E05000138,HOLBORN AND COVENT GARDEN,530548,181261,530550,181250,London,Soho,431,Soho,NULL,,1,1
008829-21012017,21.Jan.17,17:00:40,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,N4,E09000019,ISLINGTON,E05000371,FINSBURY PARK,NULL,NULL,531250,187050,London,Holloway,419,Hornsey,492,Stoke Newington,2,2
008830-21012017,21.Jan.17,17:01:34,Fire,Primary Fire,,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,HA2,E09000015,HARROW,E05000301,ROXBOURNE,NULL,NULL,512550,186650,London,Northolt,399,Northolt,413,Northolt,2,3
